,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
43,0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,0.501,195707.0,0.519,23L5CiUhw2jV1OIMwthR3S,0.0,4.0,0.454,-5.88,0.0,0.0409,133.99,4.0,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.157
44,0.0161,https://api.spotify.com/v1/audio-analysis/3AnwddQhBCSDUwlvbRGyDA,0.635,244440.0,0.735,3AnwddQhBCSDUwlvbRGyDA,1.26e-06,9.0,0.151,-5.872,1.0,0.0978,107.979,4.0,https://api.spotify.com/v1/tracks/3AnwddQhBCSDUwlvbRGyDA,audio_features,spotify:track:3AnwddQhBCSDUwlvbRGyDA,0.369
45,0.156,https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH,0.652,304607.0,0.795,0v9Wz8o0BT8DU38R4ddjeH,0.0,11.0,0.123,-5.192,0.0,0.174,135.018,4.0,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,audio_features,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,0.788
46,0.0407,https://api.spotify.com/v1/audio-analysis/2cuGAe3C8BHJN57JASaS3P,0.496,226173.0,0.912,2cuGAe3C8BHJN57JASaS3P,0.0,7.0,0.353,-4.28,1.0,0.0393,75.016,4.0,https://api.spotify.com/v1/tracks/2cuGAe3C8BHJN57JASaS3P,audio_features,spotify:track:2cuGAe3C8BHJN57JASaS3P,0.636
47,0.0972,https://api.spotify.com/v1/audio-analysis/38gZVjeaeR3gcnCzziAxBm,0.531,226307.0,0.746,38gZVjeaeR3gcnCzziAxBm,0.0,11.0,0.102,-4.228,1.0,0.0329,139.788,4.0,https://api.spotify.com/v1/tracks/38gZVjeaeR3gcnCzziAxBm,audio_features,spotify:track:38gZVjeaeR3gcnCzziAxBm,0.314
48,0.0962,https://api.spotify.com/v1/audio-analysis/4CpKEkdGbOJV51cSvx7SoG,0.747,245227.0,0.477,4CpKEkdGbOJV51cSvx7SoG,0.0,10.0,0.114,-11.062,0.0,0.276,93.44,4.0,https://api.spotify.com/v1/tracks/4CpKEkdGbOJV51cSvx7SoG,audio_features,spotify:track:4CpKEkdGbOJV51cSvx7SoG,0.339
49,0.00932,https://api.spotify.com/v1/audio-analysis/7JlZbmuxjHWadfiyLSX97D,0.566,227427.0,0.95,7JlZbmuxjHWadfiyLSX97D,0.0,5.0,0.0742,-0.675,0.0,0.0743,103.982,4.0,https://api.spotify.com/v1/tracks/7JlZbmuxjHWadfiyLSX97D,audio_features,spotify:track:7JlZbmuxjHWadfiyLSX97D,0.804
50,0.0173,https://api.spotify.com/v1/audio-analysis/4VJ7mnW4wjjIgPBM6KWvPu,0.412,325615.0,0.548,4VJ7mnW4wjjIgPBM6KWvPu,0.0,10.0,0.181,-6.981,1.0,0.243,81.293,4.0,https://api.spotify.com/v1/tracks/4VJ7mnW4wjjIgPBM6KWvPu,audio_features,spotify:track:4VJ7mnW4wjjIgPBM6KWvPu,0.169
51,0.403,https://api.spotify.com/v1/audio-analysis/7MhuhTxD0YYbdziA8d5Q4U,0.746,135414.0,0.319,7MhuhTxD0YYbdziA8d5Q4U,0.0,0.0,0.46,-13.877,1.0,0.153,129.889,4.0,https://api.spotify.com/v1/tracks/7MhuhTxD0YYbdziA8d5Q4U,audio_features,spotify:track:7MhuhTxD0YYbdziA8d5Q4U,0.249
52,0.115,https://api.spotify.com/v1/audio-analysis/4GXl8l1MfZPf2GvpyRPJBf,0.706,252263.0,0.716,4GXl8l1MfZPf2GvpyRPJBf,0.0,7.0,0.316,-4.263,0.0,0.0768,136.904,4.0,https://api.spotify.com/v1/tracks/4GXl8l1MfZPf2GvpyRPJBf,audio_features,spotify:track:4GXl8l1MfZPf2GvpyRPJBf,0.46
53,0.097,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,0.662,194080.0,0.586,2rizacJSyD9S1IQUxUxnsK,0.00272,0.0,0.115,-8.821,1.0,0.0307,90.0,4.0,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,audio_features,spotify:track:2rizacJSyD9S1IQUxUxnsK,0.324
54,0.0987,https://api.spotify.com/v1/audio-analysis/2zbAyjb37iyx1TgBTyr1rI,0.716,230606.0,0.514,2zbAyjb37iyx1TgBTyr1rI,0.0,3.0,0.151,-6.471,1.0,0.096,127.027,4.0,https://api.spotify.com/v1/tracks/2zbAyjb37iyx1TgBTyr1rI,audio_features,spotify:track:2zbAyjb37iyx1TgBTyr1rI,0.227
55,0.458,https://api.spotify.com/v1/audio-analysis/4uhlD1p3hKRI9PLH8qX0fn,0.668,205280.0,0.428,4uhlD1p3hKRI9PLH8qX0fn,0.0,0.0,0.108,-7.889,1.0,0.0433,129.75,4.0,https://api.spotify.com/v1/tracks/4uhlD1p3hKRI9PLH8qX0fn,audio_features,spotify:track:4uhlD1p3hKRI9PLH8qX0fn,0.134
56,0.402,https://api.spotify.com/v1/audio-analysis/5wQRNkb7OhzJoT1P0OZ4Rw,0.66,221333.0,0.378,5wQRNkb7OhzJoT1P0OZ4Rw,0.0,0.0,0.0838,-9.728,1.0,0.27,90.056,4.0,https://api.spotify.com/v1/tracks/5wQRNkb7OhzJoT1P0OZ4Rw,audio_features,spotify:track:5wQRNkb7OhzJoT1P0OZ4Rw,0.499
57,0.0854,https://api.spotify.com/v1/audio-analysis/7IRar8jTj26iBSeMzs2Fr8,0.461,200773.0,0.921,7IRar8jTj26iBSeMzs2Fr8,0.0,1.0,0.123,-3.343,1.0,0.0411,177.93,4.0,https://api.spotify.com/v1/tracks/7IRar8jTj26iBSeMzs2Fr8,audio_features,spotify:track:7IRar8jTj26iBSeMzs2Fr8,0.614
58,0.0389,https://api.spotify.com/v1/audio-analysis/7aVgSjwudkZey7smIznis2,0.33,219373.0,0.815,7aVgSjwudkZey7smIznis2,3.91e-05,9.0,0.0996,-4.285,1.0,0.0817,167.731,4.0,https://api.spotify.com/v1/tracks/7aVgSjwudkZey7smIznis2,audio_features,spotify:track:7aVgSjwudkZey7smIznis2,0.539
59,0.0538,https://api.spotify.com/v1/audio-analysis/5KdhJG3BXUmLoO4JdycCPw,0.807,235477.0,0.346,5KdhJG3BXUmLoO4JdycCPw,2.55e-06,2.0,0.087,-10.275,1.0,0.0613,84.98,4.0,https://api.spotify.com/v1/tracks/5KdhJG3BXUmLoO4JdycCPw,audio_features,spotify:track:5KdhJG3BXUmLoO4JdycCPw,0.0604
60,0.0143,https://api.spotify.com/v1/audio-analysis/0cPpeC9kkHF1SxE4mi3s8J,0.63,187813.0,0.716,0cPpeC9kkHF1SxE4mi3s8J,0.0,10.0,0.0748,-5.711,1.0,0.0459,88.532,4.0,https://api.spotify.com/v1/tracks/0cPpeC9kkHF1SxE4mi3s8J,audio_features,spotify:track:0cPpeC9kkHF1SxE4mi3s8J,0.66
61,0.0541,https://api.spotify.com/v1/audio-analysis/1QMCsDhbrqwBvDRXSaeh9r,0.795,198944.0,0.568,1QMCsDhbrqwBvDRXSaeh9r,0.0,5.0,0.108,-7.817,0.0,0.142,136.173,4.0,https://api.spotify.com/v1/tracks/1QMCsDhbrqwBvDRXSaeh9r,audio_features,spotify:track:1QMCsDhbrqwBvDRXSaeh9r,0.47
62,0.0496,https://api.spotify.com/v1/audio-analysis/5oyUurs28XRagLa8lgm6V3,0.96,223093.0,0.547,5oyUurs28XRagLa8lgm6V3,0.0,6.0,0.216,-6.992,0.0,0.0786,121.01,4.0,https://api.spotify.com/v1/tracks/5oyUurs28XRagLa8lgm6V3,audio_features,spotify:track:5oyUurs28XRagLa8lgm6V3,0.18
63,0.134,https://api.spotify.com/v1/audio-analysis/6zC8Ym9uvxbaVcp3Z9M3fL,0.766,199613.0,0.579,6zC8Ym9uvxbaVcp3Z9M3fL,1.24e-06,9.0,0.334,-6.864,0.0,0.0697,105.993,4.0,https://api.spotify.com/v1/tracks/6zC8Ym9uvxbaVcp3Z9M3fL,audio_features,spotify:track:6zC8Ym9uvxbaVcp3Z9M3fL,0.434
64,0.0918,https://api.spotify.com/v1/audio-analysis/4wRWDQkGCtVoSGGqplJNKB,0.662,207733.0,0.898,4wRWDQkGCtVoSGGqplJNKB,0.0,7.0,0.0984,-5.707,1.0,0.155,149.896,4.0,https://api.spotify.com/v1/tracks/4wRWDQkGCtVoSGGqplJNKB,audio_features,spotify:track:4wRWDQkGCtVoSGGqplJNKB,0.93
65,0.119,https://api.spotify.com/v1/audio-analysis/63lHuquEopEUiwPy6VLxlb,0.567,239704.0,0.565,63lHuquEopEUiwPy6VLxlb,9.17e-05,9.0,0.368,-7.78,1.0,0.0426,133.631,4.0,https://api.spotify.com/v1/tracks/63lHuquEopEUiwPy6VLxlb,audio_features,spotify:track:63lHuquEopEUiwPy6VLxlb,0.263
66,0.711,https://api.spotify.com/v1/audio-analysis/5dTJMpqiELczVuHJP3OAEu,0.69,232600.0,0.407,5dTJMpqiELczVuHJP3OAEu,0.0,9.0,0.126,-7.739,1.0,0.0297,111.916,4.0,https://api.spotify.com/v1/tracks/5dTJMpqiELczVuHJP3OAEu,audio_features,spotify:track:5dTJMpqiELczVuHJP3OAEu,0.178
67,0.0316,https://api.spotify.com/v1/audio-analysis/6wZ8kvKP9d1MKlNFTMZrBK,0.774,246240.0,0.739,6wZ8kvKP9d1MKlNFTMZrBK,5.95e-06,0.0,0.119,-4.022,1.0,0.0952,126.002,4.0,https://api.spotify.com/v1/tracks/6wZ8kvKP9d1MKlNFTMZrBK,audio_features,spotify:track:6wZ8kvKP9d1MKlNFTMZrBK,0.816
68,0.069,https://api.spotify.com/v1/audio-analysis/2ANLarE8yHVsLWW21nj79M,0.843,163944.0,0.359,2ANLarE8yHVsLWW21nj79M,0.0,0.0,0.12,-7.417,1.0,0.461,81.987,4.0,https://api.spotify.com/v1/tracks/2ANLarE8yHVsLWW21nj79M,audio_features,spotify:track:2ANLarE8yHVsLWW21nj79M,0.156
69,0.0795,https://api.spotify.com/v1/audio-analysis/2ULh6nNdjEs8kQB6Ry0HHY,0.536,184267.0,0.808,2ULh6nNdjEs8kQB6Ry0HHY,0.0,8.0,0.287,-4.186,1.0,0.0499,80.89,4.0,https://api.spotify.com/v1/tracks/2ULh6nNdjEs8kQB6Ry0HHY,audio_features,spotify:track:2ULh6nNdjEs8kQB6Ry0HHY,0.509
70,0.125,https://api.spotify.com/v1/audio-analysis/7px4t7HGiuMUvFkEOpZEwp,0.497,191827.0,0.805,7px4t7HGiuMUvFkEOpZEwp,0.0,11.0,0.167,-3.995,1.0,0.0332,166.048,4.0,https://api.spotify.com/v1/tracks/7px4t7HGiuMUvFkEOpZEwp,audio_features,spotify:track:7px4t7HGiuMUvFkEOpZEwp,0.688
